"year","prov","sector","scenario","emissions"
2017,"SK","Electricity","2022 Reference Case",0
2017,"SK","Electricity","NIR 2022",15.3
2018,"AB","Electricity","2022 Additional Measures Scenario",0
2018,"AB","Electricity","2022 Reference Case",0
2018,"AB","Electricity","NIR 2022",31.4
2018,"BC","Electricity","2022 Additional Measures Scenario",0
2018,"BC","Electricity","2022 Reference Case",0
2018,"BC","Electricity","NIR 2022",0.5
2018,"Canada","Electricity","2022 Additional Measures Scenario",0
2018,"Canada","Electricity","2022 Reference Case",0
2018,"Canada","Electricity","NIR 2022",62.8
2018,"MB","Electricity","2022 Additional Measures Scenario",0
2018,"MB","Electricity","2022 Reference Case",0
2018,"MB","Electricity","NIR 2022",0
2018,"ATL","Electricity","2022 Additional Measures Scenario",0
2018,"ATL","Electricity","2022 Reference Case",0
2018,"ATL","Electricity","NIR 2022",11.8
2018,"Northwest Territories","Electricity","2022 Additional Measures Scenario",0
2018,"Northwest Territories","Electricity","2022 Reference Case",0
2018,"Northwest Territories","Electricity","NIR 2022",0
2018,"ON","Electricity","2022 Additional Measures Scenario",0
2018,"ON","Electricity","2022 Reference Case",0
2018,"ON","Electricity","NIR 2022",3.5
2018,"QC","Electricity","2022 Additional Measures Scenario",0
2018,"QC","Electricity","2022 Reference Case",0
2018,"QC","Electricity","NIR 2022",0.3
2018,"SK","Electricity","2022 Additional Measures Scenario",0
2018,"SK","Electricity","2022 Reference Case",0
2018,"SK","Electricity","NIR 2022",14.9
2019,"AB","Electricity","2022 Additional Measures Scenario",0
2019,"AB","Electricity","2022 Reference Case",0
2019,"AB","Electricity","NIR 2022",31.1
2019,"BC","Electricity","2022 Additional Measures Scenario",0
2019,"BC","Electricity","2022 Reference Case",0
2019,"BC","Electricity","NIR 2022",0.8
2019,"Canada","Electricity","2022 Additional Measures Scenario",0
2019,"Canada","Electricity","2022 Reference Case",0
2019,"Canada","Electricity","NIR 2022",61.8
2019,"MB","Electricity","2022 Additional Measures Scenario",0
2019,"MB","Electricity","2022 Reference Case",0
2019,"MB","Electricity","NIR 2022",0
2019,"ATL","Electricity","2022 Additional Measures Scenario",0
2019,"ATL","Electricity","2022 Reference Case",0
2019,"ATL","Electricity","NIR 2022",11
2019,"Northwest Territories","Electricity","2022 Additional Measures Scenario",0
2019,"Northwest Territories","Electricity","2022 Reference Case",0
2019,"Northwest Territories","Electricity","NIR 2022",0
2019,"ON","Electricity","2022 Additional Measures Scenario",0
2019,"ON","Electricity","2022 Reference Case",0
2019,"ON","Electricity","NIR 2022",3.4
2019,"QC","Electricity","2022 Additional Measures Scenario",0
2019,"QC","Electricity","2022 Reference Case",0
2019,"QC","Electricity","NIR 2022",0.3
2019,"SK","Electricity","2022 Additional Measures Scenario",0
2019,"SK","Electricity","2022 Reference Case",0
2019,"SK","Electricity","NIR 2022",14.8
